日期,人数,新增
2020-01-23T00:00:00Z,0,确诊
2020-01-24T00:00:00Z,1,确诊
2020-01-25T00:00:00Z,0,确诊
2020-01-26T00:00:00Z,3,确诊
2020-01-27T00:00:00Z,0,确诊
2020-01-28T00:00:00Z,0,确诊
2020-01-29T00:00:00Z,1,确诊
2020-01-30T00:00:00Z,0,确诊
2020-01-31T00:00:00Z,2,确诊
2020-02-01T00:00:00Z,0,确诊
2020-02-02T00:00:00Z,0,确诊
2020-02-03T00:00:00Z,3,确诊
2020-02-04T00:00:00Z,0,确诊
2020-02-05T00:00:00Z,0,确诊
2020-02-06T00:00:00Z,1,确诊
2020-02-07T00:00:00Z,0,确诊
2020-02-08T00:00:00Z,0,确诊
2020-02-09T00:00:00Z,0,确诊
2020-02-10T00:00:00Z,0,确诊
2020-02-11T00:00:00Z,1,确诊
2020-02-12T00:00:00Z,0,确诊
2020-02-13T00:00:00Z,1,确诊
2020-02-14T00:00:00Z,0,确诊
2020-02-15T00:00:00Z,0,确诊
2020-02-16T00:00:00Z,0,确诊
2020-02-17T00:00:00Z,0,确诊
2020-02-18T00:00:00Z,0,确诊
2020-02-19T00:00:00Z,0,确诊
2020-02-20T00:00:00Z,0,确诊
2020-02-21T00:00:00Z,2,确诊
2020-02-22T00:00:00Z,0,确诊
2020-02-23T00:00:00Z,0,确诊
2020-02-24T00:00:00Z,0,确诊
2020-02-25T00:00:00Z,0,确诊
2020-02-26T00:00:00Z,0,确诊
2020-02-27T00:00:00Z,1,确诊
2020-02-28T00:00:00Z,0,确诊
2020-02-29T00:00:00Z,8,确诊
2020-03-01T00:00:00Z,7,确诊
2020-03-02T00:00:00Z,23,确诊
2020-03-03T00:00:00Z,19,确诊
2020-03-04T00:00:00Z,33,确诊
2020-03-05T00:00:00Z,77,确诊
2020-03-06T00:00:00Z,53,确诊
2020-03-07T00:00:00Z,166,确诊
2020-03-08T00:00:00Z,116,确诊
2020-03-09T00:00:00Z,75,确诊
2020-03-10T00:00:00Z,188,确诊
2020-03-11T00:00:00Z,365,确诊
2020-03-12T00:00:00Z,439,确诊
2020-03-13T00:00:00Z,633,确诊
2020-03-14T00:00:00Z,759,确诊
2020-03-15T00:00:00Z,234,确诊
2020-03-16T00:00:00Z,1467,确诊
2020-03-17T00:00:00Z,1833,确诊
2020-03-18T00:00:00Z,2657,确诊
2020-03-19T00:00:00Z,4494,确诊
2020-03-20T00:00:00Z,6367,确诊
2020-03-21T00:00:00Z,5995,确诊
2020-03-22T00:00:00Z,8830,确诊
2020-03-23T00:00:00Z,11231,确诊
2020-03-24T00:00:00Z,10612,确诊
2020-03-25T00:00:00Z,12075,确诊
2020-03-26T00:00:00Z,17840,确诊
2020-03-27T00:00:00Z,18680,确诊
2020-03-28T00:00:00Z,19607,确诊
2020-03-29T00:00:00Z,18879,确诊
2020-03-30T00:00:00Z,22082,确诊
2020-03-31T00:00:00Z,26316,确诊
2020-04-01T00:00:00Z,32312,确诊
2020-04-02T00:00:00Z,32232,确诊
2020-04-03T00:00:00Z,32164,确诊
2020-04-04T00:00:00Z,32419,确诊
2020-04-05T00:00:00Z,29865,确诊
2020-04-06T00:00:00Z,31379,确诊
2020-04-07T00:00:00Z,30763,确诊
2020-04-08T00:00:00Z,31220,确诊
2020-04-09T00:00:00Z,35935,确诊
2020-04-10T00:00:00Z,34389,确诊
2020-04-11T00:00:00Z,29163,确诊
2020-04-12T00:00:00Z,27293,确诊
2020-04-13T00:00:00Z,26946,确诊
2020-04-14T00:00:00Z,28764,确诊
2020-04-15T00:00:00Z,25389,确诊
2020-04-16T00:00:00Z,30053,确诊
2020-04-17T00:00:00Z,32749,确诊
2020-04-18T00:00:00Z,27998,确诊
2020-04-19T00:00:00Z,26185,确诊
2020-04-20T00:00:00Z,29726,确诊
2020-04-21T00:00:00Z,25828,确诊
2020-04-22T00:00:00Z,28642,确诊
2020-04-23T00:00:00Z,33648,确诊
2020-04-24T00:00:00Z,32289,确诊
2020-04-25T00:00:00Z,30461,确诊
2020-04-26T00:00:00Z,26619,确诊
2020-04-27T00:00:00Z,23549,确诊
2020-04-28T00:00:00Z,24459,确诊
2020-04-29T00:00:00Z,26362,确诊
2020-04-30T00:00:00Z,29183,确诊
2020-05-01T00:00:00Z,34788,确诊
2020-05-02T00:00:00Z,27476,确诊
2020-05-03T00:00:00Z,24530,确诊
2020-05-04T00:00:00Z,23987,确诊
2020-05-05T00:00:00Z,24377,确诊
2020-05-06T00:00:00Z,24426,确诊
2020-05-07T00:00:00Z,27456,确诊
2020-05-08T00:00:00Z,26710,确诊
2020-05-09T00:00:00Z,24868,确诊
2020-05-10T00:00:00Z,18998,确诊
2020-05-11T00:00:00Z,19591,确诊
2020-05-12T00:00:00Z,22625,确诊
2020-05-13T00:00:00Z,20305,确诊
2020-05-14T00:00:00Z,27107,确诊
2020-05-15T00:00:00Z,24741,确诊
2020-05-16T00:00:00Z,24115,确诊
2020-05-17T00:00:00Z,18449,确诊
2020-05-18T00:00:00Z,22235,确诊
2020-05-19T00:00:00Z,20967,确诊
2020-05-20T00:00:00Z,22703,确诊
2020-05-21T00:00:00Z,25643,确诊
2020-05-22T00:00:00Z,23515,确诊
2020-05-23T00:00:00Z,21402,确诊
2020-05-24T00:00:00Z,20165,确诊
2020-05-25T00:00:00Z,18789,确诊
2020-05-26T00:00:00Z,19340,确诊
2020-05-27T00:00:00Z,18337,确诊
2020-05-28T00:00:00Z,22256,确诊
2020-05-29T00:00:00Z,24367,确诊
2020-05-30T00:00:00Z,23812,确诊
2020-05-31T00:00:00Z,19136,确诊
2020-06-01T00:00:00Z,17385,确诊
2020-06-02T00:00:00Z,21226,确诊
2020-06-03T00:00:00Z,19671,确诊
2020-06-04T00:00:00Z,21547,确诊
2020-06-05T00:00:00Z,25592,确诊
2020-06-06T00:00:00Z,21187,确诊
2020-06-07T00:00:00Z,17762,确诊
2020-06-08T00:00:00Z,17514,确诊
2020-06-09T00:00:00Z,18215,确诊
2020-06-10T00:00:00Z,21000,确诊
2020-06-11T00:00:00Z,22975,确诊
2020-06-12T00:00:00Z,24882,确诊
2020-06-13T00:00:00Z,25028,确诊
2020-06-14T00:00:00Z,19055,确诊
2020-06-15T00:00:00Z,19551,确诊
2020-06-16T00:00:00Z,23455,确诊
2020-06-17T00:00:00Z,26496,确诊
2020-06-18T00:00:00Z,27955,确诊
2020-06-19T00:00:00Z,31217,确诊
2020-06-20T00:00:00Z,31723,确诊
2020-06-21T00:00:00Z,25713,确诊
2020-06-22T00:00:00Z,31096,确诊
2020-06-23T00:00:00Z,36076,确诊
2020-06-24T00:00:00Z,34333,确诊
2020-06-25T00:00:00Z,40417,确诊
2020-06-26T00:00:00Z,45445,确诊
2020-06-27T00:00:00Z,41185,确诊
2020-06-28T00:00:00Z,40557,确诊
2020-06-29T00:00:00Z,40263,确诊
2020-06-30T00:00:00Z,45996,确诊
2020-07-01T00:00:00Z,51512,确诊
2020-07-02T00:00:00Z,55661,确诊
2020-07-03T00:00:00Z,51561,确诊
2020-07-04T00:00:00Z,45773,确诊
2020-07-05T00:00:00Z,50175,确诊
2020-07-06T00:00:00Z,43513,确诊
2020-07-07T00:00:00Z,60703,确诊
2020-07-08T00:00:00Z,59742,确诊
2020-07-09T00:00:00Z,62747,确诊
2020-07-10T00:00:00Z,67960,确诊
2020-07-11T00:00:00Z,61052,确诊
2020-07-12T00:00:00Z,58794,确诊
2020-07-13T00:00:00Z,58316,确诊
2020-07-14T00:00:00Z,67583,确诊
2020-07-15T00:00:00Z,68026,确诊
2020-07-16T00:00:00Z,76709,确诊
2020-07-17T00:00:00Z,71939,确诊
2020-07-18T00:00:00Z,62520,确诊
2020-07-19T00:00:00Z,60733,确诊
2020-07-20T00:00:00Z,61674,确诊
2020-07-21T00:00:00Z,63912,确诊
2020-07-22T00:00:00Z,71826,确诊
2020-07-23T00:00:00Z,68641,确诊
2020-07-24T00:00:00Z,73428,确诊
2020-07-25T00:00:00Z,65159,确诊
2020-07-26T00:00:00Z,54840,确诊
2020-07-27T00:00:00Z,56150,确诊
2020-07-28T00:00:00Z,65650,确诊
2020-07-29T00:00:00Z,71681,确诊
2020-07-30T00:00:00Z,67786,确诊
2020-07-31T00:00:00Z,68807,确诊
2020-08-01T00:00:00Z,56733,确诊
2020-08-02T00:00:00Z,46210,确诊
2020-08-03T00:00:00Z,44750,确诊
2020-08-04T00:00:00Z,57191,确诊
2020-08-05T00:00:00Z,54407,确诊
2020-08-06T00:00:00Z,59410,确诊
2020-08-07T00:00:00Z,58413,确诊
2020-08-08T00:00:00Z,54114,确诊
2020-08-09T00:00:00Z,46459,确诊
2020-08-10T00:00:00Z,48694,确诊
2020-08-11T00:00:00Z,46861,确诊
2020-08-12T00:00:00Z,56663,确诊
2020-08-13T00:00:00Z,51825,确诊
2020-08-14T00:00:00Z,64622,确诊
2020-08-15T00:00:00Z,46594,确诊
2020-08-16T00:00:00Z,40881,确诊
2020-08-17T00:00:00Z,36821,确诊
2020-08-18T00:00:00Z,44911,确诊
2020-08-19T00:00:00Z,47593,确诊
2020-08-20T00:00:00Z,43987,确诊
2020-08-21T00:00:00Z,48718,确诊
2020-08-22T00:00:00Z,43331,确诊
2020-08-23T00:00:00Z,34406,确诊
2020-08-24T00:00:00Z,36485,确诊
2020-08-25T00:00:00Z,40044,确诊
2020-08-26T00:00:00Z,45563,确诊
2020-08-27T00:00:00Z,45169,确诊
2020-08-28T00:00:00Z,46983,确诊
2020-08-29T00:00:00Z,45360,确诊
2020-08-30T00:00:00Z,34671,确诊
2020-08-31T00:00:00Z,35159,确诊
2020-09-01T00:00:00Z,41697,确诊
2020-09-02T00:00:00Z,41013,确诊
2020-09-03T00:00:00Z,43827,确诊
2020-09-04T00:00:00Z,50181,确诊
2020-09-05T00:00:00Z,43130,确诊
2020-09-06T00:00:00Z,31435,确诊
2020-09-07T00:00:00Z,23479,确诊
2020-09-08T00:00:00Z,27079,确诊
2020-09-09T00:00:00Z,33946,确诊
2020-09-10T00:00:00Z,36113,确诊
2020-09-11T00:00:00Z,47540,确诊
2020-09-12T00:00:00Z,40979,确诊
2020-09-13T00:00:00Z,34382,确诊
2020-09-14T00:00:00Z,33945,确诊
2020-09-15T00:00:00Z,39365,确诊
2020-09-16T00:00:00Z,38562,确诊
2020-09-17T00:00:00Z,45082,确诊
2020-09-18T00:00:00Z,49016,确诊
2020-09-19T00:00:00Z,42214,确诊
2020-09-20T00:00:00Z,38388,确诊
2020-09-21T00:00:00Z,51720,确诊
2020-09-22T00:00:00Z,39397,确诊
2020-09-23T00:00:00Z,38559,确诊
2020-09-24T00:00:00Z,46345,确诊
2020-09-25T00:00:00Z,47798,确诊
2020-09-26T00:00:00Z,44415,确诊
2020-09-27T00:00:00Z,37385,确诊
2020-09-28T00:00:00Z,32444,确诊
2020-09-29T00:00:00Z,42610,确诊
2020-09-30T00:00:00Z,41340,确诊
2020-10-01T00:00:00Z,45421,确诊
2020-10-02T00:00:00Z,54578,确诊
2020-10-03T00:00:00Z,48443,确诊
2020-10-04T00:00:00Z,36220,确诊
2020-10-05T00:00:00Z,39074,确诊
2020-10-06T00:00:00Z,44606,确诊
2020-10-07T00:00:00Z,50713,确诊
2020-10-08T00:00:00Z,58555,确诊
2020-10-09T00:00:00Z,55917,确诊
2020-10-10T00:00:00Z,54503,确诊
2020-10-11T00:00:00Z,46454,确诊
2020-10-12T00:00:00Z,41355,确诊
2020-10-13T00:00:00Z,51669,确诊
2020-10-14T00:00:00Z,59317,确诊
2020-10-15T00:00:00Z,64536,确诊
2020-10-16T00:00:00Z,68606,确诊
2020-10-17T00:00:00Z,56662,确诊
2020-10-18T00:00:00Z,49413,确诊
2020-10-19T00:00:00Z,67106,确诊
2020-10-20T00:00:00Z,61449,确诊
2020-10-21T00:00:00Z,62697,确诊
2020-10-22T00:00:00Z,75763,确诊
2020-10-23T00:00:00Z,81313,确诊
2020-10-24T00:00:00Z,82706,确诊
2020-10-25T00:00:00Z,62037,确诊
2020-10-26T00:00:00Z,66822,确诊
2020-10-27T00:00:00Z,76028,确诊
2020-10-28T00:00:00Z,78478,确诊
2020-10-29T00:00:00Z,90324,确诊
2020-10-30T00:00:00Z,98554,确诊
2020-10-31T00:00:00Z,89212,确诊
2020-11-01T00:00:00Z,104257,确诊
2020-11-02T00:00:00Z,83332,确诊
2020-11-03T00:00:00Z,126120,确诊
2020-11-04T00:00:00Z,103472,确诊
2020-11-05T00:00:00Z,127898,确诊
2020-11-06T00:00:00Z,126844,确诊
2020-11-07T00:00:00Z,128573,确诊
2020-11-08T00:00:00Z,110577,确诊
2020-11-09T00:00:00Z,121654,确诊
2020-11-10T00:00:00Z,139301,确诊
2020-11-11T00:00:00Z,145667,确诊
2020-11-12T00:00:00Z,162060,确诊
2020-11-13T00:00:00Z,179284,确诊
2020-11-14T00:00:00Z,168214,确诊
2020-11-15T00:00:00Z,136566,确诊
2020-11-16T00:00:00Z,159536,确诊
2020-11-17T00:00:00Z,160529,确诊
2020-11-18T00:00:00Z,172137,确诊
2020-11-19T00:00:00Z,189810,确诊
2020-11-20T00:00:00Z,196715,确诊
2020-11-21T00:00:00Z,180636,确诊
2020-11-22T00:00:00Z,146920,确诊
2020-11-23T00:00:00Z,168471,确诊
2020-11-24T00:00:00Z,174314,确诊
2020-11-25T00:00:00Z,183241,确诊
2020-11-26T00:00:00Z,114434,确诊
2020-11-27T00:00:00Z,204183,确诊
2020-11-28T00:00:00Z,156000,确诊
2020-11-29T00:00:00Z,138320,确诊
2020-11-30T00:00:00Z,157389,确诊
2020-12-01T00:00:00Z,184079,确诊
2020-12-02T00:00:00Z,200820,确诊
2020-12-03T00:00:00Z,219884,确诊
2020-12-04T00:00:00Z,230139,确诊
2020-12-05T00:00:00Z,216087,确诊
2020-12-06T00:00:00Z,181394,确诊
2020-12-07T00:00:00Z,189926,确诊
2020-12-08T00:00:00Z,219009,确诊
2020-12-09T00:00:00Z,221929,确诊
2020-12-10T00:00:00Z,227604,确诊
2020-12-11T00:00:00Z,234683,确诊
2020-12-12T00:00:00Z,219248,确诊
2020-12-13T00:00:00Z,191741,确诊
2020-12-14T00:00:00Z,193614,确诊
2020-12-15T00:00:00Z,197310,确诊
2020-12-16T00:00:00Z,246824,确诊
2020-12-17T00:00:00Z,237020,确诊
2020-12-18T00:00:00Z,249664,确诊
2020-12-19T00:00:00Z,196443,确诊
2020-12-20T00:00:00Z,188447,确诊
2020-12-21T00:00:00Z,191317,确诊
2020-12-22T00:00:00Z,194710,确诊
2020-12-23T00:00:00Z,226726,确诊
2020-12-24T00:00:00Z,198859,确诊
2020-12-25T00:00:00Z,100186,确诊
2020-12-26T00:00:00Z,226597,确诊
2020-12-27T00:00:00Z,150477,确诊
2020-12-28T00:00:00Z,166678,确诊
2020-12-29T00:00:00Z,202145,确诊
2020-12-30T00:00:00Z,229346,确诊
2020-12-31T00:00:00Z,227315,确诊
2020-01-23T00:00:00Z,0,死亡
2020-01-24T00:00:00Z,0,死亡
2020-01-25T00:00:00Z,0,死亡
2020-01-26T00:00:00Z,0,死亡
2020-01-27T00:00:00Z,0,死亡
2020-01-28T00:00:00Z,0,死亡
2020-01-29T00:00:00Z,0,死亡
2020-01-30T00:00:00Z,0,死亡
2020-01-31T00:00:00Z,0,死亡
2020-02-01T00:00:00Z,0,死亡
2020-02-02T00:00:00Z,0,死亡
2020-02-03T00:00:00Z,0,死亡
2020-02-04T00:00:00Z,0,死亡
2020-02-05T00:00:00Z,0,死亡
2020-02-06T00:00:00Z,0,死亡
2020-02-07T00:00:00Z,0,死亡
2020-02-08T00:00:00Z,0,死亡
2020-02-09T00:00:00Z,0,死亡
2020-02-10T00:00:00Z,0,死亡
2020-02-11T00:00:00Z,0,死亡
2020-02-12T00:00:00Z,0,死亡
2020-02-13T00:00:00Z,0,死亡
2020-02-14T00:00:00Z,0,死亡
2020-02-15T00:00:00Z,0,死亡
2020-02-16T00:00:00Z,0,死亡
2020-02-17T00:00:00Z,0,死亡
2020-02-18T00:00:00Z,0,死亡
2020-02-19T00:00:00Z,0,死亡
2020-02-20T00:00:00Z,0,死亡
2020-02-21T00:00:00Z,0,死亡
2020-02-22T00:00:00Z,0,死亡
2020-02-23T00:00:00Z,0,死亡
2020-02-24T00:00:00Z,0,死亡
2020-02-25T00:00:00Z,0,死亡
2020-02-26T00:00:00Z,0,死亡
2020-02-27T00:00:00Z,0,死亡
2020-02-28T00:00:00Z,0,死亡
2020-02-29T00:00:00Z,1,死亡
2020-03-01T00:00:00Z,0,死亡
2020-03-02T00:00:00Z,5,死亡
2020-03-03T00:00:00Z,1,死亡
2020-03-04T00:00:00Z,4,死亡
2020-03-05T00:00:00Z,1,死亡
2020-03-06T00:00:00Z,2,死亡
2020-03-07T00:00:00Z,3,死亡
2020-03-08T00:00:00Z,4,死亡
2020-03-09T00:00:00Z,1,死亡
2020-03-10T00:00:00Z,6,死亡
2020-03-11T00:00:00Z,5,死亡
2020-03-12T00:00:00Z,10,死亡
2020-03-13T00:00:00Z,8,死亡
2020-03-14T00:00:00Z,7,死亡
2020-03-15T00:00:00Z,12,死亡
2020-03-16T00:00:00Z,27,死亡
2020-03-17T00:00:00Z,36,死亡
2020-03-18T00:00:00Z,59,死亡
2020-03-19T00:00:00Z,72,死亡
2020-03-20T00:00:00Z,103,死亡
2020-03-21T00:00:00Z,99,死亡
2020-03-22T00:00:00Z,110,死亡
2020-03-23T00:00:00Z,187,死亡
2020-03-24T00:00:00Z,241,死亡
2020-03-25T00:00:00Z,326,死亡
2020-03-26T00:00:00Z,412,死亡
2020-03-27T00:00:00Z,521,死亡
2020-03-28T00:00:00Z,635,死亡
2020-03-29T00:00:00Z,592,死亡
2020-03-30T00:00:00Z,697,死亡
2020-03-31T00:00:00Z,1091,死亡
2020-04-01T00:00:00Z,1257,死亡
2020-04-02T00:00:00Z,1496,死亡
2020-04-03T00:00:00Z,1405,死亡
2020-04-04T00:00:00Z,1546,死亡
2020-04-05T00:00:00Z,1580,死亡
2020-04-06T00:00:00Z,1756,死亡
2020-04-07T00:00:00Z,2577,死亡
2020-04-08T00:00:00Z,2142,死亡
2020-04-09T00:00:00Z,2207,死亡
2020-04-10T00:00:00Z,2217,死亡
2020-04-11T00:00:00Z,2136,死亡
2020-04-12T00:00:00Z,1818,死亡
2020-04-13T00:00:00Z,1957,死亡
2020-04-14T00:00:00Z,2447,死亡
2020-04-15T00:00:00Z,2596,死亡
2020-04-16T00:00:00Z,2161,死亡
2020-04-17T00:00:00Z,2086,死亡
2020-04-18T00:00:00Z,1974,死亡
2020-04-19T00:00:00Z,1936,死亡
2020-04-20T00:00:00Z,2197,死亡
2020-04-21T00:00:00Z,2539,死亡
2020-04-22T00:00:00Z,2427,死亡
2020-04-23T00:00:00Z,2454,死亡
2020-04-24T00:00:00Z,2162,死亡
2020-04-25T00:00:00Z,1705,死亡
2020-04-26T00:00:00Z,1344,死亡
2020-04-27T00:00:00Z,1462,死亡
2020-04-28T00:00:00Z,2224,死亡
2020-04-29T00:00:00Z,2519,死亡
2020-04-30T00:00:00Z,2411,死亡
2020-05-01T00:00:00Z,1883,死亡
2020-05-02T00:00:00Z,1692,死亡
2020-05-03T00:00:00Z,1117,死亡
2020-05-04T00:00:00Z,1323,死亡
2020-05-05T00:00:00Z,2285,死亡
2020-05-06T00:00:00Z,2349,死亡
2020-05-07T00:00:00Z,1922,死亡
2020-05-08T00:00:00Z,1745,死亡
2020-05-09T00:00:00Z,1535,死亡
2020-05-10T00:00:00Z,911,死亡
2020-05-11T00:00:00Z,998,死亡
2020-05-12T00:00:00Z,1616,死亡
2020-05-13T00:00:00Z,1741,死亡
2020-05-14T00:00:00Z,1782,死亡
2020-05-15T00:00:00Z,1669,死亡
2020-05-16T00:00:00Z,1271,死亡
2020-05-17T00:00:00Z,762,死亡
2020-05-18T00:00:00Z,1177,死亡
2020-05-19T00:00:00Z,1497,死亡
2020-05-20T00:00:00Z,1516,死亡
2020-05-21T00:00:00Z,1206,死亡
2020-05-22T00:00:00Z,1243,死亡
2020-05-23T00:00:00Z,1143,死亡
2020-05-24T00:00:00Z,617,死亡
2020-05-25T00:00:00Z,556,死亡
2020-05-26T00:00:00Z,661,死亡
2020-05-27T00:00:00Z,1498,死亡
2020-05-28T00:00:00Z,1177,死亡
2020-05-29T00:00:00Z,1163,死亡
2020-05-30T00:00:00Z,951,死亡
2020-05-31T00:00:00Z,697,死亡
2020-06-01T00:00:00Z,781,死亡
2020-06-02T00:00:00Z,1039,死亡
2020-06-03T00:00:00Z,993,死亡
2020-06-04T00:00:00Z,1014,死亡
2020-06-05T00:00:00Z,892,死亡
2020-06-06T00:00:00Z,700,死亡
2020-06-07T00:00:00Z,450,死亡
2020-06-08T00:00:00Z,505,死亡
2020-06-09T00:00:00Z,919,死亡
2020-06-10T00:00:00Z,899,死亡
2020-06-11T00:00:00Z,850,死亡
2020-06-12T00:00:00Z,818,死亡
2020-06-13T00:00:00Z,769,死亡
2020-06-14T00:00:00Z,315,死亡
2020-06-15T00:00:00Z,386,死亡
2020-06-16T00:00:00Z,820,死亡
2020-06-17T00:00:00Z,739,死亡
2020-06-18T00:00:00Z,693,死亡
2020-06-19T00:00:00Z,659,死亡
2020-06-20T00:00:00Z,603,死亡
2020-06-21T00:00:00Z,296,死亡
2020-06-22T00:00:00Z,388,死亡
2020-06-23T00:00:00Z,841,死亡
2020-06-24T00:00:00Z,756,死亡
2020-06-25T00:00:00Z,545,死亡
2020-06-26T00:00:00Z,631,死亡
2020-06-27T00:00:00Z,504,死亡
2020-06-28T00:00:00Z,289,死亡
2020-06-29T00:00:00Z,385,死亡
2020-06-30T00:00:00Z,633,死亡
2020-07-01T00:00:00Z,690,死亡
2020-07-02T00:00:00Z,729,死亡
2020-07-03T00:00:00Z,658,死亡
2020-07-04T00:00:00Z,285,死亡
2020-07-05T00:00:00Z,299,死亡
2020-07-06T00:00:00Z,363,死亡
2020-07-07T00:00:00Z,1204,死亡
2020-07-08T00:00:00Z,853,死亡
2020-07-09T00:00:00Z,1000,死亡
